Ëï»ª·å	21231223	21231223	1	13	12.00	34.00	56.00	76.00	0.5000	#
³ÔÍí·¹	21220921	21220921	1	21	99.00	99.00	91.00	81.00	0.0000	#
ÇïöÎ¾ê	24181106	24181106	0	21	95.00	95.00	89.00	84.00	0.0000	#
ÃÎÇÙ²¨	21201130	21201130	0	17	92.00	75.00	97.00	95.00	0.0000	#
¶¬æÃÀö	25201031	25201031	1	24	91.00	84.00	94.00	90.00	0.0000	#
½ÜºêöÎ	23201128	23201128	1	23	90.00	94.00	83.00	84.00	0.0000	#
ÇÙæÃ½¨	22201519	22201519	1	19	94.00	73.00	91.00	93.00	0.0000	#
»ý·Ö¿¨	21231224	21231224	1	19	99.00	99.00	74.00	77.00	0.0000	#
·åÇ¿´´	25181732	25181732	0	22	95.00	92.00	63.00	96.00	0.0000	#
ÅôÈðºè	25180727	25180727	1	19	96.00	84.00	83.00	81.00	0.0000	#
ºÍ¾­¼Ã	22232113	22232113	0	15	88.00	77.00	98.00	79.00	0.0000	#
ÃùÓîÔÆ	24181313	24181313	0	24	67.00	90.00	95.00	89.00	0.0000	#
·¼¾êÑà	23181516	23181516	0	24	77.00	83.00	86.00	94.00	0.0000	#
°µºìÉ«	22232112	22232112	0	15	88.00	77.00	98.00	76.00	0.0000	#
ÅôÀòÀö	24201817	24201817	1	20	90.00	96.00	84.00	68.00	0.0000	#
ÀöÑàæÃ	24180706	24180706	1	20	96.00	88.00	70.00	82.00	0.0000	#
ÃÎ·åÏ¼	25190928	25190928	1	19	82.00	81.00	83.00	89.00	0.0000	#
·ÉæÃöÎ	21191220	21191220	0	22	77.00	92.00	82.00	84.00	0.0000	#
ºìÐãÄÈ	24191121	24191121	1	17	88.00	74.00	85.00	87.00	0.0000	#
Óñµ¤»ª	22200826	22200826	1	18	92.00	68.00	96.00	76.00	0.0000	#
»ª¾ü¿­	24181423	24181423	1	17	96.00	69.00	92.00	75.00	0.0000	#
¶¬öÎÓ¨	24200911	24200911	0	22	83.00	73.00	83.00	89.00	0.0000	#
Ã··ÆÇ¿	23201120	23201120	0	23	51.00	83.00	97.00	97.00	0.0000	#
Î°Äþºê	25181833	25181833	1	24	87.00	92.00	85.00	61.00	0.0000	#
æ÷¾²»Ô	25200925	25200925	0	18	85.00	67.00	89.00	81.00	0.0000	#
²¨ºê¾ü	25190829	25190829	1	22	86.00	75.00	72.00	89.00	0.0000	#
æÃÃ·ÁÁ	22191516	22191516	0	17	89.00	84.00	69.00	80.00	0.0000	#
Ï¼ÀööÎ	23190722	23190722	0	22	75.00	89.00	79.00	78.00	0.0000	#
ÀÙÅôÁá	25201516	25201516	1	23	61.00	71.00	91.00	97.00	0.0000	#
åûÅôÀÚ	25181831	25181831	1	21	96.00	61.00	67.00	96.00	0.0000	#
ÈðÔÆöÎ	23200819	23200819	0	24	64.00	88.00	94.00	73.00	0.0000	#
ÀöÃÎ·Æ	24180714	24180714	1	20	86.00	56.00	82.00	95.00	0.0000	#
ÅôÓ¥¸Õ	22201407	22201407	1	24	81.00	81.00	85.00	72.00	0.0000	#
«hÃµÄþ	24190816	24190816	0	20	52.00	96.00	84.00	87.00	0.0000	#
Ó¥ÀöÀò	23191225	23191225	0	24	89.00	90.00	71.00	69.00	0.0000	#
¾²Ó¨öÎ	21180927	21180927	0	23	51.00	92.00	92.00	84.00	0.0000	#
ÔÆÓ¨ÀÚ	25191010	25191010	0	20	67.00	85.00	73.00	93.00	0.0000	#
ÓÂöÎÅô	24201324	24201324	1	22	88.00	89.00	81.00	58.00	0.0000	#
¾§²¨Ï¼	24191507	24191507	0	22	81.00	96.00	43.00	96.00	0.0000	#
Óî²¨ÀÚ	21181334	21181334	1	20	71.00	81.00	83.00	80.00	0.0000	#
¿¥ÓîöÎ	25191424	25191424	1	20	91.00	85.00	76.00	62.00	0.0000	#
Ç¿Ã÷«h	24201307	24201307	1	17	89.00	65.00	71.00	89.00	0.0000	#
³¬²¨½¨	25191608	25191608	1	22	91.00	85.00	60.00	78.00	0.0000	#
Ç¿Çïºì	24201107	24201107	0	21	94.00	66.00	68.00	85.00	0.0000	#
·Æ±¦»ª	22201210	22201210	0	20	92.00	92.00	82.00	46.00	0.0000	#
Ç¿ÇÙÓñ	21191710	21191710	1	21	81.00	63.00	97.00	71.00	0.0000	#
Ó¨ÑôÁá	21191108	21191108	0	23	79.00	56.00	95.00	82.00	0.0000	#
ÄÈµ¤æ«	22180828	22180828	0	17	82.00	91.00	43.00	95.00	0.0000	#
ÀööÎÂ¶	21191724	21191724	1	17	84.00	92.00	77.00	57.00	0.0000	#
Î°Ðã²¨	23181810	23181810	1	19	70.00	79.00	92.00	68.00	0.0000	#
ÍþÏ¼½Ü	25180812	25180812	1	21	91.00	68.00	62.00	88.00	0.0000	#
ºÆ½ÜÄþ	25180930	25180930	1	23	72.00	79.00	87.00	71.00	0.0000	#
